"","GSM180626","GSM180627","GSM180628","GSM180629","GSM180630","GSM180631","GSM180632","GSM180633","GSM180634","GSM180635","GSM180636","GSM180637","GSM180638","GSM180639","GSM180640","GSM180641","GSM180642","GSM180643","GSM180644","GSM180645","GSM180646","GSM180647","GSM180648","GSM180649","GSM180650","GSM180651","GSM180652","GSM180653","GSM180654","GSM180655","GSM180656","GSM180657","GSM180658","GSM180659","GSM180660","GSM180661","GSM180662","GSM180663","GSM180664","GSM180665","GSM180666","GSM180667","GSM180668"
"CLDN4",8.56186388945999,8.58007310148469,8.41664691731383,8.73732577243915,8.54316814560455,8.97045054903359,8.91762891107556,8.87450518263152,9.3019640662649,8.78637920488292,9.48675700125506,10.0484166962758,11.0803484935116,9.71890288086155,9.91251930640186,10.9176155331123,9.97093996706835,10.3930450887227,10.3634379512042,8.59599161504725,8.64001578921027,9.94078638793668,9.53726996020887,9.34841616669218,9.95390976558974,9.589170142959,9.19149826539848,9.44893388693151,8.48133610810639,9.57386115287717,10.2367261183808,8.48062863145407,8.12239125077677,9.23677614604065,10.8408128037289,9.13076077619374,8.40473608824233,8.43610174298584,8.51686123936195,9.76465633990949,10.7171707618484,8.17203853502273,11.3242750615475
"TMEM30B",5.80902852979484,5.7900027758353,5.78035962598358,6.0435583144481,6.28070909742505,6.2098869839039,6.37532800499979,5.94428236638638,6.50421075910326,6.07749772899249,5.8779007133102,6.56465501563949,6.57022034077836,7.54904974421529,6.59014956429447,6.56933659215939,6.76987126574986,6.53120840382871,7.65046823145885,5.9056258766212,5.88719822678345,6.77499785716584,6.24974101466531,5.90864970639138,7.10493471893449,6.57567709158221,6.50815566903309,6.27195070441589,5.85780200876999,6.58745832775009,6.57145208599292,5.85320601693201,5.93033129154862,6.24732437929154,6.8563426606479,6.2989344926393,6.01342428922599,5.8764221716422,5.73273420518644,6.63159606750537,7.55409056353433,5.89150173098683,7.60883720309831
"DPP4",5.4129814818309,4.69123481277051,4.80704884291738,7.81672938326846,6.41483735287864,6.56523027600685,6.50386215826135,6.73679173386964,4.70139282664702,6.84933873291166,4.19741930037291,4.60064341237775,4.29110246503992,4.31392567579752,4.35465869726726,4.87166533300513,4.77891770297741,4.06813325909657,4.17899511652801,4.94916478296323,4.92356481290079,4.4286895813407,5.32685831683604,5.63640791000655,4.32083940555669,4.53229232556176,4.53319290744339,4.34610003286655,5.12440673070093,4.6469587529588,4.93823478411767,5.96090672754636,4.93881511083404,4.38927222115194,4.40714237344539,4.33937910512677,4.46918359691748,5.49401872106788,4.88989146288875,6.08708621632568,3.98598842711925,4.89456864699731,4.4611299322621
"AGTR1",6.4423263119605,5.97023389161542,6.16322050885982,6.19089721772886,5.98270978343078,5.57171201618951,5.74508397462074,5.9819074222091,5.26174720502576,6.33561505467035,5.42420245520041,5.24085460512045,5.30614715146409,5.28230147437865,5.18240320210889,5.36544773353283,5.37423212023529,5.18873040864797,5.08361750202176,5.71865533259809,5.45808978819475,5.38579995480092,5.37820365772614,5.117315538448,5.20958025211551,5.33237845595608,6.45270675044869,6.36648938303064,5.69898976400521,5.52979078171119,4.51973699235692,6.02521584387187,6.5147090829113,5.34996885611937,5.09192058649981,6.51479295362016,5.6365560341965,5.96851244957619,5.54996028699741,5.66544093287257,5.31595802455645,6.21281115841022,5.35246549716477
"AK4",6.01938993339495,5.97888857661678,5.98116386896177,6.39486319827706,6.07099064634932,6.01007784908836,5.98598185191132,5.947685381519,6.70175919907157,6.44300344070668,6.76466683259528,7.15915494376964,6.02247037340624,6.66128860340706,6.19632076093659,6.77522035092815,6.80686689449987,7.02313927186652,7.01267022185346,6.01823493243408,6.11483161998554,6.68151678915013,6.42897184219608,6.20660098681353,7.09038303230525,6.74105321838668,6.67178295927271,6.5840987918164,6.01476312781383,6.26525647030526,6.1222064736881,6.22990220034653,6.14748220416171,6.1257101525605,6.10642793628302,6.24307230878436,6.30427673907851,6.03709240023858,6.05462985127683,6.24302138809371,6.85119191829061,5.73595738310066,6.32622826214697
"FGA",8.98186128217138,9.75433067454823,9.51626552408829,7.33135074311685,9.83299035232153,9.02436395621742,9.32745995948881,9.06114183483466,8.77951890742135,9.0905436559931,9.74657519791593,9.34335113198182,7.21051572992113,8.90147080487542,9.17603762789753,6.98283014121186,9.3587829247416,8.39508308268385,9.00662080199609,9.43211379148159,10.1556345675358,10.2943665754517,10.429575282118,9.96602635314797,9.67487678511612,9.25468110056664,9.80518152321549,9.86742103907662,9.50936330645472,9.94773497056324,8.29189899209267,9.13567397613285,9.76659558119885,9.21758441660191,9.03481521195355,9.5854297079153,9.0003522169088,9.05388407074082,8.66988565975455,8.84434194809043,8.80105059062292,9.16382165023713,8.25624605835203
"LIMCH1",4.81182791007033,4.2751328497515,4.88394708154054,5.10098107588364,5.06597071845579,4.38759499673172,4.512018878117,4.76884442547996,4.71418083178304,5.24715885067692,3.67097706383577,3.84847422553656,4.6664170807382,3.84787610780147,4.0382444533404,3.58761339590407,3.79186989802131,4.51811865418694,4.0381386596315,5.12683273237385,5.47102321686312,4.37921775925366,4.5078019100817,3.77733071416394,4.32545402922587,4.22271943649134,3.83027052591395,4.07027089287269,4.30927892816163,4.69565456818359,3.28516320300002,4.32336906158711,4.54190601097393,4.08809794218035,4.40496339643673,4.20914849253668,4.63175649288228,5.14117479079792,5.13556372004141,4.48212982278694,3.90373407789165,4.92653119502336,4.80127707888032
"FOXM1",6.23905927752865,6.36443601043511,6.15649753406518,6.20769429119123,6.24158998689877,6.35002278720582,6.15598639587141,6.70206790690593,6.20307876815513,6.21093553450406,7.6888891770599,6.61720507714766,7.97977033772434,9.12139342055134,7.04017703506815,7.66026140391601,7.58790528996153,7.91286992924277,6.54312623063978,6.39356121785016,6.2584673227938,6.47346753535293,7.39369852723541,7.10432705163625,6.72775690424174,6.30381380703185,6.19396148518315,7.2036950659401,6.21982356627302,6.50641492735838,8.38321410033077,6.39687296264607,5.87834534655333,6.37326304221099,6.72789885048482,7.03951402289592,6.26466642216449,6.26689741800976,6.40119188092581,6.44533296752036,6.40995403138869,6.18004533384011,6.18968673073604
"ZNF423",4.93968387022038,5.03156783266463,5.17783145205393,5.05564928312274,4.47832211672455,4.4179236483996,4.24885520071872,4.70277260328057,4.82606893122459,4.67812234067489,4.67070420910635,4.12075693434195,4.04152447505461,4.37802089440689,4.10887095200399,4.10850943342641,3.39009397590683,4.48979088813775,4.12592785776847,4.65265284624778,5.97501272467621,4.54195769049094,4.75970303981136,4.29643228209614,4.03760418311135,4.45210211598945,5.00358057437283,5.35332448115671,4.86065548237589,4.67827117186118,4.35320660763159,4.6874913407361,5.32117420158993,4.64920192867681,6.56248151313206,5.47447515410764,4.75018085622188,5.40187871244126,4.77434943246826,5.04137459106194,4.70679388130503,4.29960148728031,5.07200126346879
"NUP210",6.08853852121489,6.15527219757589,6.4565946385627,6.28123739746282,6.53142320859414,6.82827619535568,7.03044278377544,6.90938742825591,7.18855027154811,6.32096296212661,7.20521035539069,7.57890062739572,7.61033758097395,9.24678511547617,7.93904678830948,7.73323057051082,7.31796530793137,8.89874898998575,7.89432988040343,6.14176464919484,6.46972498606713,7.39744978985714,7.86594941633459,8.08523358354393,7.38988760473136,7.34460436835737,7.6396566223178,7.64249776518423,6.75472354811865,6.6266995312148,8.73802247645239,6.08820714893682,5.9651657130811,6.89934684158572,6.98558872816679,7.09851873295503,6.36947833572117,6.23484835030606,6.34911494538637,6.73097729369644,7.80333261134564,6.15152625026112,7.21680770754865
