GAdenoma	GCarcinoma	GQuimio
1347_at	8.36786056291962	8.55767411363164	8.35582058649839
1349_at	3.44228337745083	3.57939451872396	3.45803940572386
1350_at	4.58935185706987	4.65886940351419	4.52016356229454
1352_at	7.41616466337419	7.429890607915	7.40916191486165
1353_g_at	6.67654995306083	6.77618792013912	6.73221620254178
1354_at	4.83407016722358	4.98507575792462	4.85254509339383
1355_g_at	5.36131492291138	5.24424723733581	5.35516665530474
1359_at	5.95896685475786	5.94763316233516	6.01940653062775
136_at	7.8194268272086	7.81523882748201	7.78270530666423
1360_at	3.54193173489425	3.87337930633297	3.68359979024788
1364_at	3.70964529566781	3.43351033900681	3.49593013405647
1365_at	6.07769557499486	6.46297102608597	6.30564894560111
1369_s_at	6.11472593895618	7.29083667505184	6.30276216669007
137_at	5.79576559995444	5.86866581183548	5.75937595091018
1371_s_at	7.74363234765566	7.45283357586904	7.54150950198818
1372_at	5.680516242646	6.31969608035364	5.89707989497997
1374_g_at	8.44713936219497	8.43930817612718	8.31432451382969
1376_at	7.89950690557235	8.01236575956142	7.90053463273604
138_at	7.00336609084789	7.3355759828866	7.22792131907048
1381_at	4.88944157317927	4.99153162635751	4.87573862646228
1384_at	4.42324968420593	4.39280700613776	4.41251538180961
1387_at	6.15948646075088	6.19601026097243	6.15163945122773
139_at	4.85076033240804	4.98492264271109	4.87549517754633
1390_s_at	5.90276381985025	6.02782316963294	5.98500476112624
1391_s_at	7.22623030838475	7.12917483024687	7.2393744016725
1392_at	9.38304507909931	9.52213404553863	9.38348331142232
1393_at	4.17688200870181	4.10837205938996	4.06852232933775
1397_at	6.71620125668762	6.93332689236315	6.86106513865925
1400_at	6.26049992037729	6.26969393563454	6.23825449157058
1401_g_at	4.62546088038327	4.69095051278883	4.55239848303676
1404_r_at	3.01779867635117	3.35184901799557	3.16240041560233
1406_at	5.80243422943274	5.8535055389826	5.89137783049968
1407_g_at	6.35244191414836	6.28451307135982	6.39100898389195
1408_at	4.49678672299975	4.43373834250196	4.6010422554694
141_s_at	6.48256064038162	6.539213905492	6.39599367839098
1410_at	6.5414083940663	6.954681808222	6.75298314095805
1411_at	6.62940079345803	6.52938149490381	6.56654680514614
1412_g_at	5.94240299740559	5.96959170524757	5.88950318279443
1413_at	3.36526813323741	3.35775728157059	3.31627644234638
1414_at	4.44508995882964	4.45603305699591	4.49222073681938
1416_g_at	4.45129306897968	4.48818708042709	4.40806921865687
1417_at	3.21636344999097	3.37999816344032	3.24686346909658
1418_at	7.31653173456963	7.21438735436425	7.27258860776317
1419_g_at	7.50213771055405	7.35434785609832	7.45218879121709
1421_at	3.00611794195963	3.04563822140013	2.952260516388
1425_at	4.11985261492082	4.25243820545072	4.09916679452064
1428_at	5.15902155221103	5.28282500773229	5.1303879003235
1430_at	5.9849606162099	7.04629732447979	6.38039919985617
1431_at	5.44823790376167	5.25895835273628	5.35233788314423
1432_s_at	8.39237048052798	8.3666183875884	8.35897830161833
1435_f_at	4.66353275725695	4.66963931627048	4.62664490111369
1436_at	5.10322761255746	5.15863572749885	5.06119716490556
1437_at	4.63461698896812	4.7271742602359	4.66299381752006
1438_at	7.47622739468015	7.50788732718043	7.36160099979198
144_at	6.88822397343588	6.59538647302055	6.77366644008371
1442_at	6.99650600723211	6.9208259135502	6.93302345740517
1443_at	6.413705852715	6.41792347057287	6.33854503362622
145_s_at	5.78486619809703	5.86226385046208	5.74932008077013
1454_at	7.01427710401128	6.72807840784247	6.73619382192552
1455_f_at	5.89040890567489	5.94726391439397	5.87647025801822
1458_at	7.28744746607516	7.5519978412905	7.29992624589807
1459_at	5.86177292776296	6.12702978544358	5.8034521428924
1462_s_at	8.1682128742261	8.36543976642606	8.24562710030012
1464_at	7.37350284184179	7.36834478635854	7.32360227486519
1465_s_at	3.22405530208207	3.46003840031909	3.26688090364392
1466_s_at	4.52200704884253	4.09946810212321	4.58731965839301
1469_at	9.30642120667	9.25365078948273	9.32210771812769
1471_at	4.23403619696763	4.25020183596266	4.162890564888
1472_g_at	5.73379551712587	5.85894154149555	5.80179354253985
1473_s_at	3.15892501783207	3.39001150105998	3.26795469609918
1474_s_at	4.56443457529127	4.86845408784715	4.532046765559
1475_s_at	7.28526876152571	7.34653293185761	7.32000664866976
1476_s_at	7.41526515089402	7.50927041602089	7.49754346950458
1477_s_at	7.22844953709069	7.20422712609866	7.15782052924322
1479_g_at	3.93542342853383	4.10221664440734	4.05286413315889
1481_at	3.68726424611357	4.42484658458793	3.85405906961445
1482_g_at	3.44116918804962	3.99447928921006	3.51035616939987
